symbol,strategy,date,year,passed,reject,rank,risk_pct,avg_turnover_20,turnover_drift,cb_purity,cb_count,cluster_fraction,single_tower,ema_sep,contained,upper_half,base_ret,base_bars,base_exit,base_risk,base_r,auth_ret,auth_bars,auth_exit,auth_risk,auth_r
BALRAMCHIN,S3,2025-05-16,2025,False,liquidity,1.2127619301207568,0.034563271881152755,26.75941160025,-0.31807533683577016,0.3333333333333333,2,0.09090909090909091,True,0.0030372174827596843,False,True,-7.000000000000009,79,stop,7.000000000000009,-1.0,-1.5566290928609647,1,ema10,3.490874932903915,-0.4459137387560514
BALRAMCHIN,S3,2025-05-19,2025,False,liquidity,1.213351969583668,0.034908749329039146,28.682174008750003,-0.2649929840656966,0.3333333333333333,2,0.09090909090909091,True,0.0032642428022685997,False,True,-7.000000000000001,86,stop,7.000000000000001,-1.0,7.133769538349691,21,ema10,1.96483097055617,3.6307293834697587
BALRAMCHIN,S3,2025-05-20,2025,False,liquidity,1.3445873885814743,0.0196483097055617,28.2747841225,-0.2525828478684382,0.3333333333333333,2,0.09090909090909091,True,0.0020609316216231074,False,True,-7.000000000000014,79,stop,7.000000000000014,-1.0,6.543154089471315,20,ema10,2.5052869408043383,2.611738393275859
BALRAMCHIN,S3,2025-05-21,2025,False,liquidity,1.380566545559638,0.019927248079529915,25.180219972,-0.15308435533106468,0.3333333333333333,2,0.09090909090909091,True,0.0015675345837661656,False,True,-7.000000000000001,78,stop,7.000000000000001,-1.0,6.283808150018035,19,ema10,2.2312928236566805,2.8162185094648513
BALRAMCHIN,S3,2025-05-22,2025,False,liquidity,1.372801897294243,0.022312928236566804,24.39330928975,-0.18033420166620784,0.3333333333333333,2,0.09090909090909091,True,0.001391430846734918,False,True,-6.9999999999999964,77,stop,6.9999999999999964,-1.0,6.572048454167424,18,ema10,1.966145362502251,3.342605577139722
BALRAMCHIN,S3,2025-05-23,2025,False,liquidity,1.4334792056623242,0.015074127644187266,23.14228986775,-0.24596345007327125,0.3333333333333333,2,0.09090909090909091,True,0.0010083571385236464,False,True,-7.000000000000014,74,stop,7.000000000000014,-1.0,4.087939254811953,17,ema10,3.803196185767246,1.0748694138131254
BALRAMCHIN,S3,2025-05-27,2025,False,liquidity,1.4133436607835483,0.016854788139389103,23.182349959,-0.2477779482503959,0.3333333333333333,2,0.09090909090909091,True,0.002726828788791973,False,True,-6.999999999999999,50,stop,6.999999999999999,-1.0,1.73455298584744,15,ema10,5.291249568519163,0.3278153795971641
BALRAMCHIN,S3,2025-06-18,2025,False,liquidity,1.305500449233285,0.009135634913902967,22.101248985999998,-0.12227736649734466,0.09090909090909091,1,0.2727272727272727,False,0.014523282812249209,False,True,-6.999999999999999,34,stop,6.999999999999999,-1.0,0.9335483323432062,1,ema10,0.8631078672664069,1.081612586037357
BALRAMCHIN,S3,2025-06-19,2025,False,liquidity,1.300248917812851,0.012599932105575919,22.403262286,-0.08158167389720317,0.09090909090909091,1,0.2727272727272727,False,0.011051521563151643,False,True,-6.999999999999998,33,stop,6.999999999999998,-1.0,-0.6894812074329476,1,ema10,2.1732531741360552,-0.31725765577544396
BALRAMCHIN,S3,2025-06-20,2025,False,liquidity,1.280329426565777,0.021732531741360552,22.08959207625,-0.045488056606143856,0.09090909090909091,1,0.2727272727272727,False,0.0090088387365636,False,True,-7.0000000000000115,32,stop,7.0000000000000115,-1.0,-0.2624671916010422,3,ema10,1.4940733214799815,-0.1756722296205989
BALRAMCHIN,S3,2025-06-23,2025,False,liquidity,1.3276687966337037,0.014940733214799815,21.1399410885,-0.07753493693090008,0.09090909090909091,1,0.2727272727272727,False,0.006866784600036896,False,True,-6.999999999999998,31,stop,6.999999999999998,-1.0,-1.0416666666666743,2,ema10,2.263650873655934,-0.4601710797320609
BALRAMCHIN,S3,2025-06-24,2025,False,liquidity,1.3062149043722582,0.02263650873655934,20.82978481875,-0.10148087421726948,0.09090909090909091,1,0.2727272727272727,False,0.005752341827522981,False,True,-7.000000000000001,30,stop,7.000000000000001,-1.0,-1.381331100879029,1,ema10,2.5991209711176353,-0.531460873206317
BALRAMCHIN,S3,2025-06-25,2025,False,liquidity,1.2957669217439887,0.02599120971117635,19.9737859335,-0.1770778548733808,0.09090909090909091,1,0.2727272727272727,False,0.005147939855621195,False,True,-7.0000000000000036,29,stop,7.0000000000000036,-1.0,0.17826825127333693,1,ema10,1.2348471986417786,0.14436462379265716
BALRAMCHIN,S3,2025-06-26,2025,False,liquidity,1.3901708786998317,0.010067911714770714,18.7023782985,-0.26031086372825185,0.09090909090909091,1,0.2727272727272727,False,0.0034780857423510818,False,True,-6.999999999999998,28,stop,6.999999999999998,-1.0,-0.6863825099567756,2,ema10,1.1829505974069832,-0.5802292263610329
BALRAMCHIN,S3,2025-06-27,2025,False,liquidity,1.397716851360703,0.011829505974069832,18.22157028925,-0.28788760645016775,0.09090909090909091,1,0.2727272727272727,False,0.0022786388373705595,False,True,-7.000000000000011,27,stop,7.000000000000011,-1.0,-1.321882630293849,1,ema10,1.8152732171423713,-0.7282003710575179
BALRAMCHIN,S3,2025-06-30,2025,False,liquidity,1.3772582519768783,0.018152732171423713,17.7206443105,-0.31075614201999324,0.09090909090909091,1,0.2727272727272727,False,0.0019012045094275955,False,True,-6.9999999999999964,26,stop,6.9999999999999964,-1.0,0.14505119453925303,1,ema10,6.9999999999999964,0.0207215992198933
BALRAMCHIN,S3,2025-07-01,2025,False,liquidity,0.4982612307218159,,17.434687499249996,-0.329429463428872,0.09090909090909091,1,0.2727272727272727,False,0.00046128794460355185,False,True,-7.000000000000009,25,stop,7.000000000000009,-1.0,-0.6441168952883995,0,stop,0.6441168952883995,-1.0
BALRAMCHIN,S3,2025-07-02,2025,False,liquidity,1.4570883393777612,0.006441168952883995,16.89131649525,-0.3523521297509602,0.09090909090909091,1,0.2727272727272727,False,0.0005051470131707536,False,True,-7.000000000000002,24,stop,7.000000000000002,-1.0,3.127921801954947,14,ema10,0.8805779855503527,3.552123552123582
BALRAMCHIN,S3,2025-07-03,2025,False,liquidity,1.456772994720351,0.008805779855503527,15.862033809,-0.40113580818502037,0.09090909090909091,1,0.2727272727272727,False,0.0010023798566024475,False,True,-7.0000000000000115,23,stop,7.0000000000000115,-1.0,2.822033898305081,13,ema10,1.1745762711864323,2.402597402597417
BALRAMCHIN,S3,2025-07-08,2025,False,liquidity,1.3059032149825418,0.02374215152783583,15.25293367225,-0.43584548262537504,0.09090909090909091,1,0.2727272727272727,False,0.001245324352440575,False,True,-7.0000000000000036,17,stop,7.0000000000000036,-1.0,0.8561928512053162,10,ema10,3.0640066500415544,0.27943570265870815
BALRAMCHIN,S3,2025-07-21,2025,False,liquidity,1.4862139602215472,0.013034010276486232,19.407171006749998,-0.0819666466664194,0.0,0,0.45454545454545453,False,0.00937341849956876,False,True,-7.0000000000000115,8,stop,7.0000000000000115,-1.0,-0.9146590445079662,1,ema10,1.1744385463454357,-0.7788053681941559
BALRAMCHIN,S3,2025-07-22,2025,False,liquidity,1.5087080954421228,0.011744385463454356,19.261679551500002,-0.07528187549198595,0.0,0,0.45454545454545453,False,0.00854190837057469,False,True,-7.0000000000000036,7,stop,7.0000000000000036,-1.0,-1.9451083820984019,1,ema10,7.0000000000000036,-0.27787262601405727
BALRAMCHIN,S3,2025-07-23,2025,False,liquidity,1.515491010109177,0.007296216929036483,18.591546157499998,-0.06920269299981396,0.0,0,0.45454545454545453,False,0.007041893209179263,False,True,-6.999999999999999,9,stop,6.999999999999999,-1.0,-0.9498192821719722,1,ema10,6.999999999999999,-0.13568846888171032
BALRAMCHIN,S3,2025-07-24,2025,False,liquidity,1.4338687611809882,0.008178112129108107,19.171181332750002,0.02506649297579444,0.0,0,0.45454545454545453,False,0.00414778738085229,False,True,-7.000000000000004,8,stop,7.000000000000004,-1.0,-0.5261371350984424,1,ema10,7.000000000000004,-0.075162447871206
BALRAMCHIN,S3,2025-07-25,2025,False,liquidity,1.3772592965084982,0.01378139850644943,19.3527795815,0.06208077977326498,0.0,0,0.45454545454545453,False,0.001017477470577116,False,True,-7.000000000000008,7,stop,7.000000000000008,-1.0,-0.8565091281351275,0,stop,0.8565091281351275,-1.0
