symbol,strategy,date,year,cb_purity,cluster_fraction,single_tower,avg_turnover_20,ret,r,exit,score
LTFOODS,S3,2025-01-20,2025,0.09090909090909091,0.09090909090909091,True,20.493178295249997,-7.000000000000004,-1.0,stop,-0.22321496946065345
LTFOODS,S3,2025-01-21,2025,0.09090909090909091,0.09090909090909091,True,20.154272181249997,-7.0000000000000115,-1.0,stop,-0.22392102386482016
LTFOODS,S3,2025-01-22,2025,0.09090909090909091,0.09090909090909091,True,20.153437518749996,-6.999999999999999,-1.0,stop,-0.22392276274502843
LTFOODS,S3,2025-01-23,2025,0.09090909090909091,0.09090909090909091,True,20.114113449249995,-7.000000000000013,-1.0,stop,-0.2240046878898201
LTFOODS,S3,2025-01-24,2025,0.09090909090909091,0.09090909090909091,True,20.624859542499998,-7.000000000000013,-1.0,stop,-0.2229406335288826
LTFOODS,S3,2025-01-31,2025,0.09090909090909091,0.09090909090909091,True,21.957911914249998,-7.000000000000001,-1.0,stop,-0.22016344108773678
LTFOODS,S3,2025-02-01,2025,0.09090909090909091,0.09090909090909091,True,21.134896752499998,-7.0000000000000036,-1.0,stop,-0.22187805600804933
LTFOODS,S3,2025-02-04,2025,0.09090909090909091,0.09090909090909091,True,20.444922719749997,-7.000000000000006,-1.0,stop,-0.2233155019096118
LTFOODS,S3,2025-02-05,2025,0.09090909090909091,0.09090909090909091,True,20.591041538499997,-7.000000000000013,-1.0,stop,-0.22301108770388267
LTFOODS,S3,2025-02-06,2025,0.09090909090909091,0.09090909090909091,True,18.958445254749996,-7.000000000000004,-1.0,stop,-0.22641232996169514
LTFOODS,S3,2025-02-07,2025,0.09090909090909091,0.09090909090909091,True,18.171999972749997,-7.000000000000009,-1.0,stop,-0.22805075763252847
LTFOODS,S3,2025-02-10,2025,0.09090909090909091,0.09090909090909091,True,18.835264726499997,-7.000000000000006,-1.0,stop,-0.22666895606221593
LTFOODS,S3,2025-02-11,2025,0.09090909090909091,0.09090909090909091,True,18.7582856025,-7.000000000000011,-1.0,stop,-0.226829329237216
LTFOODS,S3,2025-02-12,2025,0.09090909090909091,0.09090909090909091,True,19.489850064999995,-7.0000000000000036,-1.0,stop,-0.22530523660700763
LTFOODS,S3,2025-02-13,2025,0.09090909090909091,0.09090909090909091,True,20.33781166875,-7.0000000000000115,-1.0,stop,-0.22353864993252848
LTFOODS,S3,2025-02-14,2025,0.09090909090909091,0.09090909090909091,True,20.938191655999997,-7.000000000000006,-1.0,stop,-0.22228785829242426
LTFOODS,S3,2025-02-19,2025,0.09090909090909091,0.09090909090909091,True,21.924856482,-7.000000000000002,-1.0,stop,-0.22023230657159099
LTFOODS,S3,2025-02-20,2025,0.09090909090909091,0.09090909090909091,True,21.61945006125,-7.000000000000009,-1.0,stop,-0.22086856994815351
LTFOODS,S3,2025-02-21,2025,0.09090909090909091,0.09090909090909091,True,19.466391146249997,-7.0000000000000115,-1.0,stop,-0.22535410935440348
LTFOODS,S3,2025-03-18,2025,0.2,0.09090909090909091,True,19.842689298999996,-7.000000000000011,-1.0,stop,-0.02457015486950742
