date,equity,positions,cash
2024-11-07,988876.3912350981,0,988876.3912350981
2024-11-08,988876.3912350981,0,988876.3912350981
2024-11-11,988876.3912350981,0,988876.3912350981
2024-11-12,988876.3912350981,0,988876.3912350981
2024-11-13,988876.3912350981,0,988876.3912350981
2024-11-14,988876.3912350981,0,988876.3912350981
2024-11-18,988876.3912350981,0,988876.3912350981
2024-11-19,988876.3912350981,0,988876.3912350981
2024-11-21,988876.3912350981,0,988876.3912350981
2024-11-22,988876.3912350981,0,988876.3912350981
2024-11-25,988876.3912350981,0,988876.3912350981
2024-11-26,988876.3912350981,0,988876.3912350981
2024-11-27,988876.3912350981,0,988876.3912350981
2024-11-28,988876.3912350981,0,988876.3912350981
2024-11-29,988876.3912350981,0,988876.3912350981
2024-12-02,988888.0137228782,1,692262.0137228782
2024-12-03,987331.2137228781,1,692262.0137228782
2024-12-04,995474.5668874132,2,459877.5168874132
2024-12-05,1003248.5761122062,2,495697.97611220623
2024-12-06,1010527.8193921428,4,43462.36939214291
2024-12-09,1029679.228027649,4,85533.82802764894
2024-12-10,1020727.8296318826,4,84190.1796318827
2024-12-11,1014177.4090535827,3,311330.9090535827
2024-12-12,1014263.5590535827,3,311330.9090535827
2024-12-13,1008341.7240432326,3,306321.5240432327
2024-12-16,1023120.0920231009,3,343601.442023101
2024-12-17,1012006.2699602661,3,395162.81996026606
2024-12-18,1011722.969960266,3,395162.81996026606
2024-12-19,997911.1878600186,1,823593.6878600186
2024-12-20,988739.5920382999,0,988739.5920382999
2024-12-23,988739.5920382999,0,988739.5920382999
2024-12-24,988739.5920382999,0,988739.5920382999
2024-12-26,988739.5920382999,0,988739.5920382999
2024-12-27,988739.5920382999,0,988739.5920382999
2024-12-30,988739.5920382999,0,988739.5920382999
2024-12-31,988739.5920382999,0,988739.5920382999
2025-01-01,988739.5920382999,0,988739.5920382999
2025-01-02,988739.5920382999,0,988739.5920382999
2025-01-03,988739.5920382999,0,988739.5920382999
2025-01-06,988739.5920382999,0,988739.5920382999
2025-01-07,988739.5920382999,0,988739.5920382999
2025-01-08,988739.5920382999,0,988739.5920382999
2025-01-09,988739.5920382999,0,988739.5920382999
2025-01-10,988739.5920382999,0,988739.5920382999
2025-01-13,988739.5920382999,0,988739.5920382999
2025-01-14,988739.5920382999,0,988739.5920382999
2025-01-15,988739.5920382999,0,988739.5920382999
2025-01-16,988739.5920382999,0,988739.5920382999
2025-01-17,988739.5920382999,0,988739.5920382999
2025-01-20,988739.5920382999,0,988739.5920382999
2025-01-21,988739.5920382999,0,988739.5920382999
2025-01-22,988739.5920382999,0,988739.5920382999
2025-01-23,988739.5920382999,0,988739.5920382999
2025-01-24,988739.5920382999,0,988739.5920382999
2025-01-27,988739.5920382999,0,988739.5920382999
2025-01-28,988739.5920382999,0,988739.5920382999
2025-01-29,988739.5920382999,0,988739.5920382999
2025-01-30,988739.5920382999,0,988739.5920382999
2025-01-31,988739.5920382999,0,988739.5920382999
2025-02-01,988739.5920382999,0,988739.5920382999
2025-02-03,988739.5920382999,0,988739.5920382999
2025-02-04,988739.5920382999,0,988739.5920382999
2025-02-05,988739.5920382999,0,988739.5920382999
2025-02-06,988739.5920382999,0,988739.5920382999
2025-02-07,988739.5920382999,0,988739.5920382999
2025-02-10,988739.5920382999,0,988739.5920382999
2025-02-11,988739.5920382999,0,988739.5920382999
2025-02-12,988739.5920382999,0,988739.5920382999
2025-02-13,988739.5920382999,0,988739.5920382999
2025-02-14,988739.5920382999,0,988739.5920382999
2025-02-17,988739.5920382999,0,988739.5920382999
2025-02-18,988739.5920382999,0,988739.5920382999
2025-02-19,988739.5920382999,0,988739.5920382999
2025-02-20,988739.5920382999,0,988739.5920382999
2025-02-21,988739.5920382999,0,988739.5920382999
