symbol,setup_date,entry_date,exit_date,entry,stop,avg_exit,shares,stop_pct,risk_amount,pnl,r_multiple,pnl_pct,holding_bars,exit_reason,mfe_pct,mae_pct,confluence,levels,rs_rank,adr20,partials
STARHEALTH,2026-04-13,2026-04-15,2026-05-11,477.2385,459.05,527.8435512929937,157,3.81119712680347,2855.5944999999965,7763.525488639052,2.718707256453625,10.361529284415802,17,ema9_close,22.84214286986486,-0.4690526853973407,5,"ema9,ema21,ema50,ema150,avwap",80.20618556701031,3.3720781953844052,2
LINDEINDIA,2026-04-13,2026-04-15,2026-04-20,7303.65,6944.5,7061.467500000001,7,4.917404311542854,2514.0499999999975,-1810.9166958749893,-0.720318488444936,-3.5420972407631597,3,ema9_close,2.1954776036639316,-4.03428422774914,3,"ema9,ema21,avwap",95.6701030927835,4.666073779976449,0
CIEINDIA,2026-04-13,2026-04-15,2026-04-22,492.246,471.15,470.914425,136,4.285662047025268,2869.0560000000005,-3051.732490469992,-1.063671287862625,-4.558535668903342,5,stop,2.1745224948501374,-5.311571856348252,2,"ema9,avwap",92.78350515463917,4.125872891059884,0
BELRISE,2026-04-13,2026-04-15,2026-04-24,207.9039,199.24,212.65362,331,4.167261893596024,2867.7508999999945,1412.0721000119984,0.4923970558293613,2.051947487276571,7,ema9_close,8.848366961851127,-0.6993134808918949,2,"avwap,swing_high",87.01030927835052,4.057814099109612,0
J&KBANK,2026-04-16,2026-04-17,2026-04-23,133.0665,127.08,127.82605500000001,122,4.498878380358687,730.352999999999,-675.9375154664989,-0.9254942684790777,-4.163686155606401,4,ema9_close,1.4530328820552256,-4.220821919867134,2,"avwap,swing_high",95.05154639175257,4.534246880480106,0
VTL,2026-04-17,2026-04-20,2026-05-07,560.0799,544.0,604.4865628983607,122,2.871001083952478,1961.7477999999942,5254.224198855371,2.678338264916309,7.68951206176612,12,ema9_close,15.519232166696227,-2.4514180923114597,3,"ema9,ema21,avwap",94.63917525773195,3.634768532400938,2
GRANULES,2026-04-21,2026-04-22,2026-06-08,671.3855249999999,652.2,760.5171870088582,127,2.8576018227381166,2436.5616749999836,11110.591684036111,4.559946829187562,13.030512370675273,31,ema9_close,19.79704209440621,-0.6680997479056373,3,"ema9,avwap,swing_high",77.7319587628866,3.5556388260426197,2
CUMMINSIND,2026-04-22,2026-04-23,2026-05-11,5237.617499999999,5079.4,5235.88075,3,3.0207914189991873,474.65249999999924,-41.34381896249644,-0.08710334183954895,-0.2631210275950624,11,ema9_close,4.4463441631619816,-2.587388254296897,3,"ema9,avwap,swing_high",91.54639175257732,3.270351225597942,0
APOLLOHOSP,2026-04-23,2026-04-24,2026-04-30,7818.907499999999,7601.0,7597.199500000001,9,2.7869302712687083,1961.167499999994,-2154.9287074499885,-1.098798908022897,-3.062275938806013,4,stop,0.7621589077502335,-3.2921159381921257,3,"ema9,ema21,swing_high",71.75257731958763,2.386346483553501,0
DMART,2026-04-28,2026-04-29,2026-05-04,4602.800249999999,4480.0,4477.76,25,2.6679465397178457,3070.006249999983,-3387.072357187477,-1.1032786520182152,-2.943488461996566,2,stop,0.8060256362417708,-5.470588257659003,2,"ema9,avwap",83.09278350515464,3.1050556188996756,0
WAAREEENER,2026-04-28,2026-04-29,2026-04-30,3483.741,3372.0,3298.3500000000004,27,3.2075002131329504,3017.0069999999996,-5216.140925549986,-1.7289124372432634,-5.545487010945977,1,stop_gap,1.4886009034540721,-11.015198891077148,3,"ema9,avwap,gap_base",91.1340206185567,3.170136772457257,0
BALRAMCHIN,2026-04-29,2026-04-30,2026-05-20,518.7092250000001,500.25,530.484625,166,3.558684540457143,3064.23135000001,1754.4252940349902,0.5725498807506765,2.037524409268013,13,ema9_close,8.615766376624578,-1.9296408310455768,2,"ema9,ema21",81.44329896907216,3.7906960558081892,0
MCX,2026-04-29,2026-04-30,2026-05-22,2982.39045,2862.0,3280.045045056,25,4.036709881497907,3009.761249999997,7261.319855917148,2.412589987301204,9.738925841741677,15,ema9_close,16.68492299524364,-3.869059130067953,2,"avwap,swing_high",87.42268041237114,3.2002298594491165,1
