date,equity,positions,cash
2025-08-08,673594.1387461283,0,673594.1387461283
2025-08-11,673594.1387461283,0,673594.1387461283
2025-08-12,673594.1387461283,0,673594.1387461283
2025-08-13,673594.1387461283,0,673594.1387461283
2025-08-14,673594.1387461283,0,673594.1387461283
2025-08-18,673594.1387461283,0,673594.1387461283
2025-08-19,673594.1387461283,0,673594.1387461283
2025-08-20,673594.1387461283,0,673594.1387461283
2025-08-21,673594.1387461283,0,673594.1387461283
2025-08-22,666494.8699051118,3,298911.1699051118
2025-08-25,666840.3436010767,6,11562.493601076807
2025-08-26,659000.5008771643,7,1505.1508771643566
2025-08-28,654288.7319205444,5,208126.1819205444
2025-08-29,652760.7123638443,4,310640.81236384436
2025-09-01,658965.7123638444,4,310640.81236384436
2025-09-02,660487.9123638443,4,310640.81236384436
2025-09-03,664926.0123638443,4,310640.81236384436
2025-09-04,663702.1721099694,4,327128.5721099694
2025-09-05,665673.0721099693,4,327128.5721099694
2025-09-08,670839.6826065567,8,3999.7326065566467
2025-09-09,663112.8020281118,8,5683.4820281116845
2025-09-10,661108.0428425441,8,34943.29284254421
2025-09-11,654989.1017372455,7,190523.19173724548
2025-09-12,655907.8082995755,8,2448.0582995754885
2025-09-15,661944.0740448628,8,47288.85404486279
2025-09-16,660521.0340448628,8,47288.85404486279
2025-09-17,660429.4654193828,8,74337.4754193828
2025-09-18,655299.7634280027,8,708.3334280027775
2025-09-19,653323.0679580418,8,125137.06795804176
2025-09-22,647330.83811221,8,110.3381122100509
2025-09-23,643560.2224808526,8,18746.902480852616
2025-09-24,639527.6989524476,8,55123.06895244765
2025-09-25,626250.505583039,6,295479.045583039
2025-09-26,612119.0889682639,6,122851.14896826401
2025-09-29,612004.6423655015,3,454689.4023655015
2025-09-30,608870.8669920914,3,459632.0969920914
2025-10-01,606473.0069920914,3,459632.0969920914
2025-10-03,608567.9868936811,2,491312.08689368115
2025-10-06,606412.2868936812,2,491312.08689368115
2025-10-07,606318.2868936812,2,491312.08689368115
2025-10-08,603918.1447841387,0,603918.1447841387
2025-10-09,611383.5479532091,4,158589.64795320918
2025-10-10,606234.210910723,7,76.29091072296796
2025-10-13,605460.9009107229,7,76.29091072296796
