symbol,setup_date,entry_date,exit_date,entry,stop,avg_exit,shares,stop_pct,risk_amount,pnl,r_multiple,pnl_pct,holding_bars,exit_reason,mfe_pct,mae_pct,confluence,levels,rs_rank,adr20,partials
KALYANKJIL,2024-12-05,2024-12-06,2024-12-19,725.06235,711.35,745.6556623739726,365,1.8911959778355634,5005.007750000005,6899.2251308060495,1.3784644251162332,2.6069463763692324,9,ema9_close,8.190695600178373,-1.1188486066060377,2,"ema9,avwap",80.78602620087337,4.235151572821211,1
RAMCOCEM,2024-12-09,2024-12-10,2024-12-10,1018.6090499999999,1005.25,1004.7473749999999,83,1.3114992449752838,1108.8011499999925,-1343.6483957662515,-1.2118028519056465,-1.589278525333151,0,stop_same_day,0.6274193224574325,-1.5225713928223876,1,ema9,91.48471615720524,2.828965191600351,0
M&M,2024-12-12,2024-12-13,2024-12-13,3087.5429999999997,3045.0,3043.4775,98,1.3778917411028662,4169.213999999967,-5009.385010349994,-1.2015178425357955,-1.6555615120178067,0,stop_same_day,0.17998129904588356,-2.835361321283612,1,ema9,86.68122270742357,2.8976497077414107,0
GRANULES,2024-12-16,2024-12-17,2024-12-17,587.5936499999999,580.8,580.5096,522,1.1561816571707264,3546.2852999999777,-4399.086480974957,-1.2404773188933742,-1.4342171222408409,0,stop_same_day,0.71586035689801,-1.8964891809160749,1,ema9,72.27074235807859,4.181484247056025,0
POLICYBZR,2024-12-16,2024-12-17,2024-12-19,2125.96245,2072.7,2071.66365,96,2.5053335255286457,5113.1952000000165,-5676.102721440017,-1.1100891906962596,-2.7811436657783015,2,stop,2.5206254230877967,-3.2814525957408307,1,ema9,87.99126637554585,5.16630230647078,0
ABBOTINDIA,2025-03-21,2025-03-24,2025-04-01,30514.249499999998,30046.55,30302.841,9,1.5327248995588072,4209.295499999989,-2532.1333866749433,-0.6015575258793187,-0.9220221984322234,5,ema9_close,2.8044291241703405,-1.0285342262800867,2,"ema9,ema21",84.92569002123143,3.2654808046015185,0
HEG,2025-04-21,2025-04-22,2025-04-23,485.74275,474.05,473.81297500000005,421,2.4071898139498713,4922.6477499999955,-5487.004179258717,-1.1146448939513744,-2.683161834890983,1,stop,2.4616425052149493,-3.8276948034736478,1,ema9,80.89171974522293,5.4495116449259555,0
SBFC,2025-05-13,2025-05-14,2025-05-20,101.000475,99.3,105.60337377211239,2883,1.6836306957962301,4902.469424999992,12585.172429588547,2.5671088054952156,4.322063184380539,4,ema9_close,11.296506278807115,-1.1885835190379028,1,ema9,89.64059196617336,4.542882877215071,2
IEX,2025-05-13,2025-05-14,2025-05-14,195.79784999999998,193.4,193.3033,1502,1.2246559397868655,3601.570699999965,-4418.908516394959,-1.2269392674687747,-1.5025784616633804,0,stop_same_day,0.9663793550337837,-1.3012655654798981,2,"ema9,avwap",82.02959830866807,3.162047437000386,0
MRF,2025-05-19,2025-05-20,2025-05-26,140725.32749999998,139410.0,145913.64418124993,2,0.9346771639241593,2630.6549999999697,9717.363727633006,3.693895143085322,3.4525994361722154,4,partials_exhausted,4.767921041079134,-0.8813818535970257,2,"ema9,avwap",90.9090909090909,2.0820453683822926,2
BANDHANBNK,2025-05-23,2025-05-26,2025-05-26,166.533225,164.43,164.347785,1791,1.26294617785729,3766.8759749999654,-4595.622112246477,-1.220008872802487,-1.5408055428578813,0,stop_same_day,0.08813556574072197,-1.280960601105264,3,"ema9,ema21,avwap",74.20718816067652,3.3221563539560783,0
MAPMYINDIA,2025-05-23,2025-05-26,2025-05-26,2009.1040499999997,1983.0,1982.0085000000001,148,1.2992881080499386,3863.399399999954,-4689.428756009906,-1.2138089466002302,-1.5770875297623022,0,stop_same_day,0.0,-3.519183090592028,1,ema9,72.51585623678648,4.169699011319441,0
APOLLOTYRE,2025-05-23,2025-05-26,2025-05-26,497.94884999999994,491.0,490.7545,446,1.395494738063947,3099.1870999999715,-3715.7860482149686,-1.198955057671414,-1.6731354741556148,0,stop_same_day,0.5223729304726932,-1.9879250649941105,1,avwap,70.40169133192389,3.106897790447234,0
PARADEEP,2025-05-23,2025-05-26,2025-06-13,158.57925,154.11,173.16789387252697,1112,2.818306934860638,4969.805999999987,15798.333738665788,3.1788632672313226,8.959012391011782,14,ema9_close,15.778073108556129,-1.1346061984780484,1,avwap,98.5200845665962,5.991205585047544,2
HAL,2025-05-26,2025-05-27,2025-06-02,5036.61705,4950.0,4947.525000000001,56,1.7197465906207787,4850.554799999991,-5632.1335480199605,-1.1611318251718281,-1.9968524976005333,4,stop,1.4569888731167315,-1.7197465906207725,1,avwap,95.9830866807611,3.8193130365896186,0
VMM,2025-05-27,2025-05-28,2025-05-30,125.8629,124.21,124.147895,2323,1.3132543426220138,3839.6867000000057,-4651.847953302724,-1.2115175837921144,-1.5910307280779237,2,stop,2.0554905377200043,-1.87736020701891,2,"ema9,avwap",72.51585623678648,4.611148995431572,0
SBFC,2025-05-27,2025-05-28,2025-06-11,107.78386499999999,105.43,112.75280000132761,2094,2.1838751096928886,4928.993309999968,9873.875549790326,2.003223564892684,4.3747900825193895,10,ema9_close,8.550570161869786,-0.9313685309020887,2,"ema9,avwap",84.14376321353065,4.427865956181094,1
GABRIEL,2025-05-28,2025-05-29,2025-05-29,653.076375,638.9,638.58055,1,2.1707070631670007,14.176375000000007,-15.981230463749968,-1.127314314396308,-2.4470691446693307,0,stop_same_day,0.7845368774823712,-2.6760078405837238,1,ema9,92.19409282700421,4.602640408023197,0
DATAPATTNS,2025-05-28,2025-05-29,2025-06-09,2881.44,2801.8,2982.6733718181817,11,2.7638958298628418,876.0399999999986,1039.386055846504,1.1864595861450455,3.2792507024470843,7,ema9_close,13.44327836081959,-2.697956577266922,1,avwap,99.36708860759494,6.759285428747731,1
CCL,2025-05-29,2025-05-30,2025-06-10,825.4124999999999,803.15,858.9763575757576,99,2.6971362803446683,2203.9874999999934,3131.054228565008,1.4206315728038466,3.8316369560123626,7,ema9_close,10.8536640770524,-1.6310026804779265,1,ema9,90.50632911392405,5.797496845472233,1
JYOTICNC,2025-05-29,2025-05-30,2025-06-06,1249.72455,1224.1,1238.8021849283505,194,2.0504158296322177,4971.1627,-2674.129138462504,-0.5379283076899705,-1.1029767172947857,5,stop,6.423451471766327,-3.930830197742381,1,ema9,93.67088607594937,4.140230027513089,1
ABDL,2025-05-30,2025-06-02,2025-06-03,400.550175,393.55,393.35322499999995,726,1.7476399804344143,5082.127050000009,-5887.815648660019,-1.158533738085121,-2.02469987935969,1,stop,1.1109282376421319,-1.8974339481938927,2,"ema9,avwap",71.09704641350211,4.890204521879543,0
BEL,2025-06-02,2025-06-03,2025-06-12,389.444625,383.75,387.2063,789,1.4622425460359028,4493.059124999979,-2470.732641798727,-0.5498998729064662,-0.8040869902235706,7,ema9_close,3.185401518893741,-1.3723709757195905,1,avwap,96.41350210970464,3.0967426345117066,0
ATUL,2025-06-03,2025-06-04,2025-06-11,7145.571,7055.0,7173.042351333334,6,1.2675124213306384,543.4259999999995,66.02967587581063,0.12150628765611268,0.15401072887389644,5,ema9_close,4.988110817176121,-0.6377516926219045,2,"ema9,avwap",86.28691983122363,2.618142079370659,1
CREDITACC,2025-06-03,2025-06-04,2025-06-06,1172.586,1150.0,1239.7238280000001,1,1.926170020791653,22.586000000000013,64.36367169780013,2.849715385539719,5.489036343415334,2,partials_exhausted,6.601989107835166,-1.695909724318725,1,ema9,85.86497890295358,3.964503997686163,1
BDL,2025-06-09,2025-06-10,2025-06-11,1970.985,1925.5,1924.53725,110,2.30772938403894,5003.349999999989,-5602.036064624973,-1.1196570427063837,-2.5838654574996642,1,stop,1.06114455462625,-4.30672988378906,1,ema9,98.73417721518987,5.194015250254482,0
SBFC,2025-06-10,2025-06-11,2025-06-11,115.05749999999999,112.8,112.7436,2240,1.9620624470373451,5056.799999999985,-5769.951633599999,-1.1410282458471792,-2.238768672185646,0,stop_same_day,0.17599895704323038,-3.2570671186145956,2,"ema9,avwap",78.05907172995781,3.997681929252638,0
ENDURANCE,2025-06-10,2025-06-11,2025-06-12,2528.3635499999996,2487.2,2485.9564,120,1.6280708523898695,4939.625999999971,-5780.83415309995,-1.1702979442370705,-1.9053279716241593,1,stop,1.2552170355406498,-3.890403735649471,1,avwap,86.70886075949366,3.756263182462953,0
HONASA,2025-06-13,2025-06-16,2025-06-16,310.155,303.75,303.59812500000004,762,2.0650964840160477,4880.609999999979,-5534.170613437466,-1.1339096165105367,-2.3416327622478943,0,stop_same_day,0.27244442294982424,-2.0650964840160477,1,ema21,89.45147679324894,4.522172672445903,0
TECHNOE,2025-06-20,2025-06-23,2025-06-23,1489.7445,1460.1,1459.36995,163,1.9899049803506645,4832.053500000017,-5503.863153652508,-1.139031915448057,-2.266565281328446,0,stop_same_day,2.346409065447131,-2.171144112295761,1,ema9,96.83544303797468,4.625209005062376,0
RAILTEL,2025-06-27,2025-06-30,2025-07-02,431.865825,422.65,422.438675,524,2.1339556099397297,4829.0922999999975,-5454.630491700001,-1.1295353563028818,-2.410378310207806,2,stop,0.4825978068535619,-3.1875235786485234,1,ema9,87.13080168776372,4.785087223922354,0
RPOWER,2025-06-30,2025-07-01,2025-07-01,70.93545,69.18,69.14541000000001,2745,2.474714687790091,4818.710249999989,-5355.860054804965,-1.1114716961462825,-2.7505753315161705,0,stop_same_day,0.0,-4.1241015599393505,1,avwap,99.57805907172997,5.602815579059095,0
HOMEFIRST,2025-07-04,2025-07-07,2025-07-07,1364.8821,1340.0,1339.3300000000002,191,1.8230219298795138,4752.481100000007,-5474.431287764976,-1.15191016493784,-2.099957491932811,0,stop_same_day,2.6462285643573145,-3.273696680467858,1,ema9,89.0295358649789,4.310877346537359,0
APARINDS,2025-07-14,2025-07-15,2025-07-25,8804.4,8663.0,9015.5993203125,32,1.6060151742310622,4524.799999999988,6102.602275012524,1.3487009978369298,2.166034268026684,8,ema9_close,6.424060696924272,-0.5894779882785839,2,"ema9,avwap",98.73417721518987,3.5695225313517596,1
DCMSHRIRAM,2025-07-14,2025-07-15,2025-07-25,1375.6875,1343.9,1407.6555516778524,149,2.310662850392979,4736.337499999987,4286.313868095006,0.9049848892936827,2.0911149638579154,8,ema9_close,9.203580028167735,-1.358411703239284,1,ema9,80.37974683544303,4.680911087447068,1
GALLANTT,2025-07-15,2025-07-16,2025-08-12,586.79325,573.7,688.3668124487705,366,2.231322531402653,4792.129499999963,36639.20898596531,7.645705105833555,17.060034071106717,19,ema9_close,36.71765992536555,-1.8990078703188844,1,avwap,81.85654008438819,5.134265314474044,2
CUB,2025-07-16,2025-07-17,2025-07-17,164.592255,162.02,161.93899000000002,60,1.562804398056266,154.33529999999905,-181.7265559049988,-1.1774788781633232,-1.8401691694119997,0,stop_same_day,0.2052010284445112,-1.9637953195306674,2,"ema9,avwap",77.0042194092827,3.60386898574954,0
MUTHOOTFIN,2025-07-16,2025-07-17,2025-07-17,2656.42755,2632.7,2631.3836499999998,108,0.8932127661452716,2562.575400000007,-3361.4873510400475,-1.3117613440915878,-1.1716819786784864,0,stop_same_day,0.285061416412434,-1.1002577503007778,2,"ema9,avwap",79.11392405063292,2.1475181084230313,0
